City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Rabak,SD,13.1809,32.74,79.79,68,68,9.6,broken clouds
270,Wloszczowa,PL,50.8526,19.9659,45.66,86,100,6.98,overcast clouds
271,Puerto Escondido,MX,15.85,-97.0667,78.76,82,15,4.97,few clouds
272,Lutz,US,28.1511,-82.4615,69.78,78,0,1.99,clear sky
273,Riyadh,SA,24.6877,46.7219,75.34,33,0,3.56,clear sky
274,Demyansk,RU,57.643,32.466,41.9,96,100,2.35,overcast clouds
275,Boguchany,RU,58.3814,97.4531,40.39,53,86,8.86,overcast clouds
276,Mogadishu,SO,2.0371,45.3438,78.67,78,75,13.8,broken clouds
277,Lashio,MM,22.9333,97.75,84.81,53,22,2.93,few clouds
278,Souillac,MU,-20.5167,57.5167,73.78,68,40,11.5,scattered clouds
279,Gwadar,PK,25.1216,62.3254,82.18,71,15,5.01,few clouds
280,Dunedin,NZ,-45.8742,170.5036,36.36,82,89,26.11,overcast clouds
281,Hamilton,US,39.1834,-84.5333,54.45,75,0,0.0,clear sky
282,Mount Isa,AU,-20.7333,139.5,82.17,57,40,13.8,scattered clouds
283,Mehamn,NO,71.0357,27.8492,42.75,81,40,13.8,scattered clouds
284,Porto Novo,BJ,6.4965,2.6036,74.82,94,51,3.02,broken clouds
285,Narasannapeta,IN,18.4167,84.05,84.51,79,100,8.9,overcast clouds
286,Yar-Sale,RU,66.8333,70.8333,37.38,81,100,9.82,overcast clouds
287,Esperance,AU,-33.8667,121.9,63.05,76,74,20.58,broken clouds
288,Gander,CA,48.9682,-54.5906,48.33,66,0,15.01,clear sky
289,Husavik,IS,66.0449,-17.3389,39.56,99,100,19.04,overcast clouds
290,Derzhavinsk,KZ,51.1,66.3167,49.89,23,12,4.32,few clouds
291,Olginskaya,RU,47.1879,39.9492,43.7,58,90,5.68,overcast clouds
292,Kopargaon,IN,19.8833,74.4833,84.47,50,62,11.41,broken clouds
293,Ilmajoki,FI,62.7333,22.5667,40.21,99,100,11.5,light intensity shower rain
294,Bitung,ID,1.4451,125.1824,86.85,71,67,5.82,broken clouds
295,Opoczno,PL,51.3757,20.2783,41.92,89,97,7.67,overcast clouds
296,Ilulissat,GL,69.2167,-51.1,30.22,55,19,2.3,few clouds
297,Komsomolskiy,UZ,40.4272,71.7189,66.92,30,1,2.3,clear sky
298,Port Macquarie,AU,-31.4333,152.9167,63.9,57,100,10.25,light rain
299,Mount Gambier,AU,-37.8333,140.7667,53.58,97,100,11.81,light rain
300,Beringovskiy,RU,63.05,179.3167,40.62,89,98,17.09,light rain
301,Niquero,CU,20.0431,-77.5828,78.46,83,86,5.28,overcast clouds
302,La Trinitaria,MX,16.1167,-92.05,57.43,94,21,4.68,few clouds
303,Sarahan,IN,31.5167,77.8,67.05,49,0,5.73,clear sky
304,San Marzano Sul Sarno,IT,40.7749,14.5817,66.31,77,6,4.5,clear sky
305,Cochrane,CA,51.1834,-114.4687,60.62,54,0,0.0,clear sky
306,Fatehpur,IN,25.9333,80.8,76.62,92,100,8.21,overcast clouds
307,Paamiut,GL,61.994,-49.6678,38.77,95,100,20.62,light rain
308,Dryden,CA,49.7833,-92.7503,57.49,94,100,6.91,overcast clouds
309,San Patricio,US,28.017,-97.5169,76.89,62,8,6.15,clear sky
310,Kelo,TD,9.3086,15.8066,69.94,92,99,3.74,overcast clouds
311,Lakes Entrance,AU,-37.8811,147.981,60.17,61,100,19.39,light rain
312,Staritsa,RU,56.5075,34.9354,40.71,93,100,3.6,overcast clouds
313,Nago,JP,26.5881,127.9761,86.85,70,25,6.87,scattered clouds
314,Changji,CN,44.0167,87.3167,54.39,32,0,4.47,clear sky
315,Pisco,PE,-13.7,-76.2167,59.05,82,20,8.05,few clouds
316,Griffith,US,41.5284,-87.4237,60.73,91,0,0.0,clear sky
317,Tautira,PF,-17.7333,-149.15,76.35,74,54,23.98,broken clouds
318,Meadow Lake,US,34.8014,-106.5436,60.28,79,100,1.48,overcast clouds
319,Taoudenni,ML,22.6783,-3.9836,90.91,14,1,10.65,clear sky
320,Skjervoy,NO,70.0311,20.9714,48.2,75,100,15.03,overcast clouds
321,Cozumel,MX,20.5083,-86.9458,77.07,78,40,0.0,scattered clouds
322,Havoysund,NO,70.9963,24.6622,44.83,80,33,17.98,scattered clouds
323,Champerico,GT,14.3,-91.9167,80.44,77,100,2.66,overcast clouds
324,Beyneu,KZ,45.3167,55.2,59.65,31,10,19.82,clear sky
325,Ahipara,NZ,-35.1667,173.1667,57.4,84,99,16.2,overcast clouds
326,Tefe,BR,-3.3542,-64.7114,75.81,78,89,0.22,overcast clouds
327,Manokwari,ID,-0.8667,134.0833,84.27,68,100,8.52,overcast clouds
328,Byron Bay,AU,-28.65,153.6167,70.95,55,100,6.64,overcast clouds
329,Tahe,CN,52.3333,124.7333,39.2,33,80,12.37,broken clouds
330,Swansea,GB,51.6208,-3.9432,63.86,96,100,5.99,overcast clouds
331,Hay River,CA,60.8156,-115.7999,40.98,75,75,10.36,broken clouds
332,Matay,EG,28.419,30.7792,71.91,67,0,11.1,clear sky
333,Sena Madureira,BR,-9.0656,-68.6569,72.97,84,57,2.53,broken clouds
334,Arlit,NE,18.7369,7.3853,87.01,17,0,9.64,clear sky
335,Sao Filipe,CV,14.8961,-24.4956,77.92,78,83,0.31,broken clouds
336,Jieshi,CN,22.8134,115.8257,85.33,69,14,25.46,few clouds
337,Dwarka,IN,22.2394,68.9678,83.44,63,64,8.01,broken clouds
338,Grand-Santi,GF,4.25,-54.3833,71.69,99,79,1.92,broken clouds
339,Itupiranga,BR,-5.1347,-49.3267,75.52,64,34,2.19,scattered clouds
340,Santa Cruz,BO,-17.8,-63.1667,74.66,83,33,8.05,scattered clouds
341,Kirkenaer,NO,60.4564,12.0582,56.03,93,100,6.8,overcast clouds
342,Altay,CN,47.8667,88.1167,51.6,20,0,4.54,clear sky
343,Nishihara,JP,26.1842,127.7558,86.05,75,75,14.97,broken clouds
344,Noumea,NC,-22.2763,166.4572,76.98,60,1,13.58,clear sky
345,Galveston,US,29.3669,-94.9669,73.36,77,0,4.61,clear sky
346,Jalu,LY,29.0331,21.5482,70.45,59,0,6.04,clear sky
347,Chokurdakh,RU,70.6333,147.9167,25.32,79,98,6.62,overcast clouds
