City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Narsaq,GL,2022-09-28 20:04:27,60.9167,-46.05,44.82,92,100,3.49
161,Abha,SA,2022-09-28 20:04:28,18.2164,42.5053,66.45,14,0,0.0
162,Severo-Kurilsk,RU,2022-09-28 20:04:28,50.6789,156.125,50.4,76,100,11.43
163,Tonantins,BR,2022-09-28 20:04:29,-2.8731,-67.8022,95.94,41,76,3.22
164,Castro,BR,2022-09-28 20:04:29,-24.7911,-50.0119,52.23,97,100,8.68
165,Ahipara,NZ,2022-09-28 20:04:29,-35.1667,173.1667,60.48,85,100,11.92
166,Agadir,MA,2022-09-28 20:00:20,30.4202,-9.5982,68.45,67,22,4.09
167,Kirakira,SB,2022-09-28 20:04:30,-10.4544,161.9205,79.95,78,10,5.93
168,Nuuk,GL,2022-09-28 20:02:19,64.1835,-51.7216,43.41,100,100,8.05
169,Hithadhoo,MV,2022-09-28 20:04:30,-0.6,73.0833,80.82,72,100,10.87
170,Cayenne,GF,2022-09-28 20:03:27,4.9333,-52.3333,87.84,58,0,10.36
171,Puerto Ayora,EC,2022-09-28 20:04:31,-0.7393,-90.3518,73.36,87,69,7.0
172,Thompson,CA,2022-09-28 20:00:35,55.7435,-97.8558,69.35,34,18,11.41
173,Turukhansk,RU,2022-09-28 20:04:32,65.8167,87.9833,24.26,76,0,9.8
174,Warangal,IN,2022-09-28 20:04:33,18.0,79.5833,77.04,87,100,2.39
175,Samarai,PG,2022-09-28 20:04:34,-10.6167,150.6667,81.23,81,78,13.15
176,Tambacounda,SN,2022-09-28 20:04:34,13.7539,-13.7586,84.69,71,74,6.2
177,Kavaratti,IN,2022-09-28 20:04:34,10.5669,72.642,81.25,74,42,13.98
178,Pierreville,CA,2022-09-28 20:00:14,46.0703,-72.8112,61.38,66,54,14.94
179,Jalu,LY,2022-09-28 20:04:35,29.0331,21.5482,89.76,20,0,7.83
180,Sechura,PE,2022-09-28 20:04:35,-5.5569,-80.8222,75.6,55,39,14.88
181,Praia,CV,2022-09-28 20:05:36,14.9215,-23.5087,81.14,83,20,12.66
182,Mosquera,CO,2022-09-28 20:02:37,4.7059,-74.2302,57.51,87,100,3.96
183,Xining,CN,2022-09-28 20:05:36,36.6167,101.7667,49.91,53,46,2.1
184,Mogoytuy,RU,2022-09-28 20:05:37,51.2833,114.9167,44.11,83,97,19.42
